cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url,Metro
Unemployment is at a 45 year high and this is what the Modi govt has to say about it #HowsTheJobs,2019-01-31 23:59:26,67,https://pbs.twimg.com/profile_images/809690188297498625/mzc1UrVO_normal.jpg,1500,positive,"@INCIndia: Unemployment is at a 45 year high and this is what the Modi govt. has to say about it: 
#HowsTheJobs https://t.co/vE3k2D2a0X",1091123824442040321,dherendra saini,https://twitter.com/metacafedeeru,Bengaluru
5 साल 50 उपलब्धियां राष्ट्रपत क अभिभाष क सा चुनाव मो मे आ मोद सरका,2019-01-31 23:59:26,980,https://pbs.twimg.com/profile_images/1069949891764310016/4tKLjPmF_normal.jpg,596,neutral,"@girirajsinghbjp: 5 साल, 50 उपलब्धियां: राष्ट्रपति के अभिभाषण के साथ चुनावी मोड में आई मोदी सरकार  

https://t.co/KN11h17mhT",1091123824286822400,veer patel,https://twitter.com/veerpatel_IND,Kolkata
I warmly welcome Member of Parliament and President Shri to the Indian Youth Congress office for…,2019-01-31 23:59:25,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,107,positive,@srinivasiyc: I warmly welcome Member of Parliament and @INCPunjab President Shri @sunilkjakhar to the Indian Youth Congress office for…,1091123818779820032,Satpal Rose,https://twitter.com/satpal_rose,Mumbai
Hey how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt We didn’t s…,2019-01-31 23:59:19,98,https://pbs.twimg.com/profile_images/424726291120521216/otG2WfRD_normal.jpeg,382,positive,"@SuPriyoBabul: Hey @RahulGandhi how about you Congratulating #Chowkidar for catching hold of corrupt dealers from your Govt

We didn’t s…",1091123794800828416,Kinjal Patel,https://twitter.com/kinjalpatelguj,Mumbai
_707070 Listen what world leaders have to say about modi ji My Vote for Modi ji Because I love India #ModiBringsBack https:/…,2019-01-31 23:59:17,77,https://pbs.twimg.com/profile_images/1012604402413125632/InyIPbZU_normal.jpg,213,positive,"@mini_707070: Listen what world leaders have to say about modi ji 

My Vote for Modi ji 

Because I love India 

#ModiBringsBack https:/…",1091123788656402432,Rachanna M,https://twitter.com/iamrachanna,Hyderabad
PM Modi expected to address the nation tomorrow on All India Radio Maybe DD too Trying to confirm time Will be after t…,2019-01-31 23:59:14,1203,https://pbs.twimg.com/profile_images/1092752660707663872/Fov1Rpzv_normal.jpg,346,negative,@NayantaraRai: PM Modi expected to address the nation tomorrow on All India Radio. Maybe DD too. Trying to confirm time. Will be after t…,1091123775859388416,Chil Swarr 🇮🇳,https://twitter.com/chilswar,Kolkata
PM Modi should have created 10 crore jobs in the last 5 years but under him India is reeling under unemployment. …,2019-01-31 23:59:13,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,180,neutral,"@AkhterH007007: PM Modi should have created 10 crore jobs in the last 5 years, but under him, India is reeling under unemployment.

@nar…",1091123771178651648,Satpal Rose,https://twitter.com/satpal_rose,Delhi
rdanarohit Great job modi,2019-01-31 23:59:09,3,https://pbs.twimg.com/profile_images/1010457190451146752/hFDoQg4z_normal.jpg,0,positive,rdanarohit Great job modi,1091123753562472450,Haris c FFSh KUFhug gw g xdMAR,https://twitter.com/HarishK92419799,Bengaluru
NSSO's data that govt tried to hide which led to resignation of top officers of Nat Stat Org shows that unemployment is at…,2019-01-31 23:59:09,121,https://pbs.twimg.com/profile_images/1047037918278246400/Y1KfT8fi_normal.jpg,595,positive,"@pbhushan1: NSSO's data that govt tried to hide, which led to resignation of top officers of Nat Stat Org, shows that unemployment is at…",1091123751905779712,Ronit,https://twitter.com/secular_ronit,Hyderabad
I guess Congress had a plan however they peaked 7 months earlier It’s all downhill for them now onwards. BJP has start…,2019-01-31 23:58:59,76,https://pbs.twimg.com/profile_images/1085228309783269376/sTQrreRK_normal.jpg,503,neutral,"@PawanDurani: I guess Congress had a plan , however they peaked 7 months earlier. It’s all downhill for them now onwards.

BJP has start…",1091123712575733762,Shankar,https://twitter.com/Shankar44909662,Bengaluru
_Guha The system of collecting and verifying official statistics in independent India was globally admired for its scientific credi…,2019-01-31 23:58:59,55,https://pbs.twimg.com/profile_images/1895990455/Venks_Picture_normal.jpg,1172,neutral,@Ram_Guha: The system of collecting and verifying official statistics in independent India was globally admired for its scientific credi…,1091123711481167880,Venkatesh Ramanathan,https://twitter.com/venkatesh_r,Delhi
"WATCH This old lady has come to watch Modiji speak she will wait till 3rd Feb With a broken voice she says ""I have giv…",2019-01-31 23:58:57,43,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1986,negative,"@raniroyrocky: WATCH: This old lady has come to watch Modiji speak, she will wait till 3rd Feb. With a broken voice she says ""I have giv…",1091123702614376451,Manoj kumar 🇮🇳,https://twitter.com/ManojMkumar003,Mumbai
vindKejriwal Modi...Modi...,2019-01-31 23:58:45,142,https://pbs.twimg.com/profile_images/825057834786172928/DiOHdMQs_normal.jpg,0,neutral,vindKejriwal Modi...Modi...,1091123650391166976,Rajeev Tomar,https://twitter.com/RajeevTomar09,Kolkata
Since PM Modi doesn't understand India is in the middle of a major unemployment crisis we've decided to explain it to him in…,2019-01-31 23:58:40,14,https://pbs.twimg.com/profile_images/1034669024335089666/qxHoLMRV_normal.jpg,2211,positive,"@INCIndia: Since PM Modi doesn't understand India is in the middle of a major unemployment crisis, we've decided to explain it to him in…",1091123633076858880,Yash Sharma,https://twitter.com/iamysharma,Kolkata
BJP MP Babul Supriyo asked Congress chief Rahul Gandhi if he would congratulate PM Narendra Modi for bringing back Rajeev Sha…,2019-01-31 23:58:29,98,https://pbs.twimg.com/profile_images/424726291120521216/otG2WfRD_normal.jpeg,1182,neutral,@TimesNow: BJP MP Babul Supriyo asked Congress chief Rahul Gandhi if he would congratulate PM Narendra Modi for bringing back Rajeev Sha…,1091123585895227392,Kinjal Patel,https://twitter.com/kinjalpatelguj,Mumbai
Modi believes he’s good for business but he’s a statist who believes in Big State power &amp thought control That’s why t…,2019-01-31 23:58:20,18,https://pbs.twimg.com/profile_images/1070925652935757824/Po8v1McC_normal.jpg,253,positive,"@sagarikaghose: Modi believes he’s good for business, but he’s a statist who believes in Big State power &amp; thought control. That’s why t…",1091123545831337984,Melwyn Philips,https://twitter.com/melwyn65,Hyderabad
Both Shiv Sena and JDU will win bcos of Modi and then join 3rd front cant trust these Thakreys anymore,2019-01-31 23:58:17,2901,https://pbs.twimg.com/profile_images/876040016253771780/l5HFlQ-M_normal.jpg,7,positive,"@girishs2: Both Shiv Sena and JDU will win bcos of Modi and then join 3rd front
cant trust these Thakreys anymore 
https://t.co/ouz13AqX…",1091123533915271168,Punita Toraskar🇮🇳⛳️,https://twitter.com/impuni,Bengaluru
_0mar Gangster Ravi Pujari arrested in Senegal will be brought to India. Christian Michel &amp Rajiv Saxena already brought to I…,2019-01-31 23:58:16,13,https://pbs.twimg.com/profile_images/1085601964841488387/9kpQCnpa_normal.jpg,65,neutral,"@abdullah_0mar: Gangster Ravi Pujari arrested in Senegal will be brought to India.

Christian Michel &amp; Rajiv Saxena already brought to I…",1091123529402253314,shareef,https://twitter.com/Billaeazam,Delhi
During Modi Government unemployment is seriously horrible. 22 applicants for one PM POST Earlier it was just 2 or 3 WA #H…,2019-01-31 23:58:13,142,https://pbs.twimg.com/profile_images/1091703082025504769/ofpgvJAr_normal.jpg,850,negative,"@mvmeet: During Modi Government, 
unemployment is seriously horrible.

22 applicants for one PM POST

Earlier, it was just 2 or 3

WA
#H…",1091123517788024832,Krishna Kannur,https://twitter.com/Krishna_Kannur1,Mumbai
The two latest extraditions come as a major breakthrough for the investigating agencies in AgustaWestland case This led Rajya Sab…,2019-01-31 23:58:13,148,https://pbs.twimg.com/profile_images/1007462650081472512/qey4wqmR_normal.jpg,7,positive,@dna: The two latest extraditions come as a major breakthrough for the investigating agencies in AgustaWestland case. This led Rajya Sab…,1091123517079207937,LawStudent,https://twitter.com/law_student513,Mumbai
_Bhandari PM Modi got UAE Govt to raid house of Rajiv Saxena &amp put him on plane to India gave no chance to delay or escape. Fabul…,2019-01-31 23:58:02,100,https://pbs.twimg.com/profile_images/983662231429632000/LTQvA2Se_normal.jpg,2262,neutral,"@Ish_Bhandari: PM Modi got UAE Govt to raid house of Rajiv Saxena &amp; put him on plane to India, gave no chance to delay or escape.

Fabul…",1091123472233680897,Jayendra Gurumurthy,https://twitter.com/jay_gurumurthy,Bengaluru
Rahul Gandhi recommends the Bhagavad Gita to Narendra Modi. A Man who deserts his troops at every failure who vacations f…,2019-01-31 23:58:02,4312,https://pbs.twimg.com/profile_images/378800000756930564/c6846c221e081c5f25f824d83c1f3193_normal.jpeg,643,negative,"@shilpamdas: Rahul Gandhi recommends the Bhagavad Gita to Narendra Modi.

A Man who deserts his troops at every failure, who vacations f…",1091123470791069696,Dharmendra Bihari 🇮🇳,https://twitter.com/DharmendraBihar,Bengaluru
be because the #modi gov is busy funding propaganda movies like #uri - 🇮 India Thousands of ex-army members,2019-01-31 23:57:59,2,https://pbs.twimg.com/profile_images/1072370706397257728/qM6TIx18_normal.jpg,0,neutral,"be because the #modi gov is busy funding propaganda movies like #uri ? -
🇮🇳 India: Thousands of ex-army members… https://t.co/DecRetirSC",1091123459281874945,Sohail Bukhari,https://twitter.com/SBukhari87,Delhi
mesNow Congress I Indian National Congress was murdered by Indira Khan Gandhi will do anything to please the,2019-01-31 23:57:58,2,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,neutral,mesNow Congress I ( Indian National Congress was murdered by Indira Khan Gandhi ) will do anything to please the… https://t.co/H0Wm4OcRam,1091123457302151170,Mack,https://twitter.com/Mack93513880,Bengaluru
davabneeshsp _yadav88,2019-01-31 23:57:53,53,https://pbs.twimg.com/profile_images/1090908211320971264/pEF5hF_h_normal.jpg,0,neutral,davabneeshsp @ShivaYa36977421 @aashishsy @AbbasAliRushdi @UDhakre @akhileshvicharm @YadayUmesh @Anu_yadav88… https://t.co/23CAlRdSbr,1091123433663094785,I PROUD MODI   (B.J.P ),https://twitter.com/RAJSHRE44528138,Mumbai
_Scofield L'#Inter trova sempre nuovi modi per deluderti. Eravamo ormai rassegnati quando al 123 un rigore ci salva la vita Pens…,2019-01-31 23:57:45,56,https://pbs.twimg.com/profile_images/1057929855571054592/cCsoQi4E_normal.jpg,15,neutral,"@Ale_Scofield: L'#Inter trova sempre nuovi modi per deluderti.

Eravamo ormai rassegnati quando al 123' un rigore ci salva la vita. Pens…",1091123401362677763,Rosario Crimi,https://twitter.com/CrimiRosario,Delhi
Dhoni Shubman Gill Modi India 92 Chahal Virat Kohli #WakeUpHindus अ भ नह संभल त आग चौरास तैया है नकल साधन त्या…,2019-01-31 23:57:44,917,https://pbs.twimg.com/profile_images/1069396033925394432/sKnWy6j8_normal.jpg,4,neutral,"@markandeydas: Dhoni Shubman Gill Modi
India 92 Chahal Virat Kohli
#WakeUpHindus
अब भी नही संभले तो आगे चौरासी तैयार है
नकली साधना त्या…",1091123395024977921,Semraj Das,https://twitter.com/DasSemraj,Delhi
_jain My humble request as I may miss replying to everyone — STOP considering polls on television And even if you do think a…,2019-01-31 23:57:42,3633,https://pbs.twimg.com/profile_images/870388098164764672/V1NosdOK_normal.jpg,191,negative,"@vinayak_jain: My humble request as I may miss replying to everyone —

STOP considering polls on television. And even if you do, think a…",1091123388905672705,InnovativeHindu 🇮🇳,https://twitter.com/InnovativeHindu,Mumbai
2019 Elections is ... Sonia family Karunanidhi family Mulayam family Lalu PraSad Yadav family Biju Patnayak family Jagan Moha…,2019-01-31 23:57:38,160,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,991,neutral,"@mvmeet: 2019 Elections is 
...
Sonia family 
Karunanidhi family
Mulayam family
Lalu PraSad Yadav family
Biju Patnayak family
Jagan Moha…",1091123371608166400,Rajesh,https://twitter.com/rajeshisin1,Hyderabad
"ery Necessary Action Would Be Taken For National Security, Says PM",2019-01-31 23:57:35,1470,https://pbs.twimg.com/profile_images/1641260529/i_trafficadbar_com_normal.jpg,0,positive,"ery Necessary Action Would Be Taken For National Security,"" Says PM https://t.co/i8Sz0aRJq2 https://t.co/p442yebY3G",1091123359885053952,jessica4ever,https://twitter.com/jessica4ever,Mumbai
👌👌👌Former president and senior most leader of Congress party Shri Pranab Mukherji summarized in less than one minute about Shr…,2019-01-31 23:57:32,109,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,308,positive,@JasBJP: 👌👌👌Former president and  senior most leader of Congress party Shri Pranab Mukherji summarized in less than one minute about Shr…,1091123347000180736,gab.ai/hanumadu,https://twitter.com/hanumadu,Hyderabad
राहु गांध ए ब्ला य वार् नेत भ बनन लाय नही है शहजा पूनावाला प क्यों #RahulGandhi #RahulVsParrikar #Rahul…,2019-01-31 23:57:30,115596,https://pbs.twimg.com/profile_images/688748172399656961/YIfx5cPe_normal.jpg,553,neutral,"@NitinUploader: राहुल गांधी एक ब्लाक या वार्ड नेता भी बनने लायक नहीं है: शहजाद पूनावाला, पर क्यों? 
#RahulGandhi #RahulVsParrikar #Rahul…",1091123338691276800,मुफ्त वाले बाबा #F4F,https://twitter.com/TFB_INDIA,Delhi
There is a debate on job creation and it is a welcome development Better to debate on real issues instead of the serial man…,2019-01-31 23:57:30,286,https://pbs.twimg.com/profile_images/919695432774770688/xJ5kDTWP_normal.jpg,1138,positive,@amishra77: There is a debate on job creation and it is a welcome development. Better to debate on real issues instead of the serial man…,1091123338011963392,Rohit Chelluri,https://twitter.com/rohitchelluri,Bengaluru
_Bhandari Who could have imagined India will get UAE to literally kidnap &amp send back economic criminals back to India. Great achi…,2019-01-31 23:57:27,38,https://pbs.twimg.com/profile_images/1091884130617475072/WYpkiOsH_normal.jpg,1215,positive,"@Ish_Bhandari: Who could have imagined India will get UAE, to literally kidnap &amp; send back economic criminals back to India.

Great achi…",1091123323994628099,kishore Vardhan,https://twitter.com/vardhankishore,Hyderabad
fredoPedulla la Lazio MERITATISSIMAMENTE in nsemifinale chehanno cercato in tutti i modi di scipparle Lo dico,2019-01-31 23:57:21,1,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,neutral,fredoPedulla la Lazio è MERITATISSIMAMENTE in nsemifinale chehanno cercato in tutti i modi di scipparle. Lo dico… https://t.co/Lfjr66VlaZ,1091123298799415296,Vitaliano,https://twitter.com/Vitalia98513546,Bengaluru
1 Parrikar has power over Modi 2 Modi has power over Parrikar ’s Rafale story changes more frequently tha…,2019-01-31 23:57:19,257,https://pbs.twimg.com/profile_images/858756406714834944/XtO4Zk6c_normal.jpg,567,positive,"@attomeybharti: 1. Parrikar has power over Modi
2. Modi has power over Parrikar

@RahulGandhi’s Rafale story changes more frequently tha…",1091123291769556992,4-LI,https://twitter.com/charlie_chawla,Bengaluru
leelmohamed1 What reason you want Is that all crimes happened during his tenure only? Does congress,2019-01-31 23:57:12,61,https://pbs.twimg.com/profile_images/1092804820627570690/1MVqxlLt_normal.jpg,0,neutral,"leelmohamed1 @jothims What reason you want. Is that all crimes happened during his tenure only?. 

Does congress… https://t.co/7g0NErPMWP",1091123263273496576,Prasanna,https://twitter.com/iyer_prasanna,Hyderabad
"Last time we saw such swift extradition it was Batman extraditing Lau from Hong Kong and delivering him to Jim Gordon. ""Ev…",2019-01-31 23:57:02,94,https://pbs.twimg.com/profile_images/1087580912739590144/ljdemILm_normal.jpg,3759,neutral,"@BJP4India: Last time we saw such swift extradition, it was Batman extraditing Lau from Hong Kong and delivering him to Jim Gordon.

""Ev…",1091123222513364992,खाना-बदोश,https://twitter.com/ArreyPooja,Bengaluru
ndroSca Sono basito per quando hanno fischiato Quale la logica regolamentare per quello di asomoah non sia un,2019-01-31 23:56:54,361,https://pbs.twimg.com/profile_images/888851109040844800/Zih7jFrh_normal.jpg,0,neutral,ndroSca Sono basito per quando hanno fischiato. Quale è la logica regolamentare per quello di asomoah non sia un… https://t.co/1GL6LNvWXZ,1091123188724047873,mattia chimenti,https://twitter.com/chimentimattia,Bengaluru
"WATCH This old lady has come to watch Modiji speak she will wait till 3rd Feb With a broken voice she says ""I have giv…",2019-01-31 23:56:50,60,https://pbs.twimg.com/profile_images/427225090749890560/hs8sT1iv_normal.jpeg,1986,negative,"@raniroyrocky: WATCH: This old lady has come to watch Modiji speak, she will wait till 3rd Feb. With a broken voice she says ""I have giv…",1091123171888123904,Kuntal Sevak,https://twitter.com/ksevak,Hyderabad
_Scindia Mirchi nahi lagi haa lakin app bhee modi ko follow karto hoo yaa pata chall gaia,2019-01-31 23:56:46,16,https://pbs.twimg.com/profile_images/1083522189817573376/DOEjBbAd_normal.jpg,0,neutral,_Scindia Mirchi nahi lagi haa lakin app bhee modi ko follow karto hoo yaa pata chall gaia,1091123154632663040,Vaibhavagle,https://twitter.com/vaibhavagle,Mumbai
_BJP She says in this video even if i die it does not matter even if mamata's police fire at me i dont…,2019-01-31 23:56:46,60,https://pbs.twimg.com/profile_images/427225090749890560/hs8sT1iv_normal.jpeg,14,neutral,"@raniroyrocky: @AB_BJP @narendramodi She says in this video, even if i die it does not matter, even if mamata's police fire at me i dont…",1091123151466098688,Kuntal Sevak,https://twitter.com/ksevak,Kolkata
अर मोदीजी...ज को कभ नही क पाया.. व ह त #मोदी_सरकार करत हैं। #ModiOnceMore #NaMoAgain जीं उपचुनाव पीए न…,2019-01-31 23:56:43,980,https://pbs.twimg.com/profile_images/1069949891764310016/4tKLjPmF_normal.jpg,49,neutral,"@Kiranja34522516: अरे मोदीजी...जो कोई कभी नहीं कर पाया..
वो ही तो #मोदी_सरकार"" करती हैं।
#ModiOnceMore #NaMoAgain
जींद उपचुनाव: पीएम न…",1091123142301409280,veer patel,https://twitter.com/veerpatel_IND,Bengaluru
PM Modi bowled bouncer and eliminated Christian Michel Deepak Talwar Rajiv Saxena In next few weeks he'll bowl yorker…,2019-01-31 23:56:41,46,https://pbs.twimg.com/profile_images/1048577364894998530/KRXtrCFS_normal.jpg,836,negative,"@mvmeet: PM Modi bowled bouncer and eliminated

* Christian Michel
* Deepak Talwar
* Rajiv Saxena

In next few weeks, he'll bowl yorker…",1091123132969115648,Lonestar12ka4,https://twitter.com/lonestar12ka4,Kolkata
There is a debate on job creation and it is a welcome development Better to debate on real issues instead of the serial man…,2019-01-31 23:56:39,99,https://pbs.twimg.com/profile_images/1063510202509516800/Fm6dfxXR_normal.jpg,1138,positive,@amishra77: There is a debate on job creation and it is a welcome development. Better to debate on real issues instead of the serial man…,1091123122814763010,Nirmal Singh,https://twitter.com/nirmalsingh30,Hyderabad
This kid was found abandoned at Kumbhmela He can say only 2 words ..Modi and Rafale..👇WA,2019-01-31 23:56:37,435,https://pbs.twimg.com/profile_images/727506778649333760/EfWQpRta_normal.jpg,77,neutral,@mamtan14: This kid was found  abandoned at Kumbhmela. He can say only 2 words. ..Modi and Rafale..👇WA https://t.co/2oHyitkelX,1091123114094850049,Sameer,https://twitter.com/SameerUniverse,Kolkata
unjaitley You nailed it bro That's exactly why we saw Nirav Modi Mehul Choksi Vijay Mallya and many others es,2019-01-31 23:56:33,778,https://pbs.twimg.com/profile_images/766499442031820800/IpEzZ0Sh_normal.jpg,0,positive,"unjaitley You nailed it bro. That's exactly why we saw Nirav Modi, Mehul Choksi, Vijay Mallya and many others es… https://t.co/B3ZV4TUFng",1091123100375285762,BuckStartsHere,https://twitter.com/kjramkunwar,Kolkata
In 10 years of UPA our defense forces had no money to buy single Rafale plane whereas Modi Govt gave ➡OROP ➡S-400 missile…,2019-01-31 23:56:27,41,https://pbs.twimg.com/profile_images/1322356427/215044_213553742004770_100000504372707_848925_7306385_n_1__normal.jpg,3400,negative,"@rishibagree: In 10 years of UPA our defense forces had no money to buy single Rafale plane whereas Modi Govt gave

➡OROP
➡S-400 missile…",1091123072638189568,Being undefeated....,https://twitter.com/SUVANKAR_GAME,Bengaluru
Modi governments performance #HowsTheJobs Pakoda #HowsTheBlackMoney Europe Tour #HowsTheEconomy Rising NPA #HowsTheDefense…,2019-01-31 23:56:25,60,https://pbs.twimg.com/profile_images/963639884077518850/4VTaCp_6_normal.jpg,104,neutral,"@AnisPFI: Modi governments performance: 

#HowsTheJobs Pakoda
#HowsTheBlackMoney Europe Tour
#HowsTheEconomy Rising NPA
#HowsTheDefense…",1091123064291508225,sadiq em,https://twitter.com/EmSadiq,Hyderabad
I Mai PM Sri Narendra modi sir se request karta hun ki jo log kam k silsele me bahar gye hai agar unko vote karn,2019-01-31 23:56:19,0,https://pbs.twimg.com/profile_images/1026752661859848194/-h2faC3t_normal.jpg,0,neutral,I Mai PM Sri Narendra modi sir se request karta hun ki jo log kam k silsele me bahar gye hai agar unko vote karn… https://t.co/n8g6L2yvV6,1091123040405127169,amitkbs,https://twitter.com/amitkbs1,Bengaluru
President Kovind delivers a prime ministerial speech that would make Modi proud Moushumi Das Gupta _moushumi repo…,2019-01-31 23:56:18,116,https://pbs.twimg.com/profile_images/878601506026512385/T0CqBvhH_normal.jpg,36,positive,"@ShekharGupta: President Kovind delivers a prime ministerial speech that would make Modi proud

Moushumi Das Gupta @dgupta_moushumi repo…",1091123036516900864,Manoj Kulkarni,https://twitter.com/manojgokak,Delhi
My piece 363 million Indians What Modi forgot Rahul Gandhi remembered!,2019-01-31 23:55:56,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,283,neutral,"@JhaSanjay: My piece: “ 363 million Indians: What Modi forgot, Rahul Gandhi remembered!” https://t.co/psldy4mwkV",1091122943927685120,Satpal Rose,https://twitter.com/satpal_rose,Hyderabad
#DisruptionOfCorruption People value honesty &amp supported PM Modi during demonetisation They trusted his intentions &amp s…,2019-01-31 23:55:53,4958,https://pbs.twimg.com/profile_images/1091624793902702592/ukaH4ems_normal.jpg,9,neutral,@Prakash12Joshi: #DisruptionOfCorruption People value honesty &amp; supported PM Modi during demonetisation. They trusted his intentions &amp; s…,1091122929318809600,ANIL J 🇮🇳,https://twitter.com/AnilJ_Modi19,Bengaluru
_India In #RahulGandhi ’s vision and #Congress blueprint ignoring 363 million #poor of India while you are yourself suited–booted…,2019-01-31 23:55:49,43,https://pbs.twimg.com/profile_images/1033374237552254983/rLiSiSGm_normal.jpg,62,negative,"@NH_India: In #RahulGandhi ’s vision and #Congress blueprint, ignoring 363 million #poor of India, while you are yourself suited–booted…",1091122914731139074,Satpal Rose,https://twitter.com/satpal_rose,Delhi
‘Everywhere there is a good people there is a bad people and there is goody-goody people RIP English And guess what She mo…,2019-01-31 23:55:47,1565,https://pbs.twimg.com/profile_images/1070465595798405120/OKmb6gvs_normal.jpg,133,negative,"@ExSecular: ‘Everywhere there is a good people there is a bad people and there is goody-goody people’ RIP English 
And guess what She mo…",1091122906866831366,binugazi NAMO in २०१९,https://twitter.com/binugazi,Hyderabad
